# Total Phase Data Center(tm) v6.73
# (c) 2005-2017 Total Phase, Inc.
# www.totalphase.com
#
# 
#
# Level,Sp,Index,m:s.ms.us,Dur,Len,Err,Dev,Ep,Record,Data
0,,0,0:00.000.000,,,,,,Capture started (Aggregate),
0,,1,0:00.000.000,,,,,,<Host disconnected>,
0,,2,0:07.004.706,,,,,,Capture stopped,
0,,3,0:00.000.000,,,,,,Capture started (Aggregate),
0,,4,0:00.000.000,,,,,,<Host connected>,
0,HS,5,0:00.000.082,,,,,,<High-speed>,
0,HS,6,0:00.000.082,1.999.969.516 s,,,,,[15999 SOF],
0,HS,7,0:00.000.208,1.996.219.383 s,,,02,01,[500 ORPHANED],
1,HS,8,0:00.000.208,1.996.219.383 s,,,02,01,   [500 IN],
0,HS,9,0:02.000.177,1.999.969.500 s,,,,,[15999 SOF],
0,HS,10,0:02.000.428,1.996.219.383 s,,,02,01,[500 ORPHANED],
1,HS,11,0:02.000.428,1.996.219.383 s,,,02,01,   [500 IN],
0,HS,12,0:04.000.271,910.349.950 ms,,,,,[7283 SOF],
0,HS,13,0:04.909.751,898.100 us,4 B,,11,00,Control Transfer,20 08 DF F7
1,HS,14,0:04.909.751,916 ns,8 B,,11,00,   SETUP txn,C0 A2 20 00 00 00 04 00
2,HS,15,0:04.909.751,66 ns,3 B,,11,00,      SETUP packet,2D 0B 20
2,HS,16,0:04.909.752,200 ns,11 B,,11,00,      DATA0 packet,C3 C0 A2 20 00 00 00 04 00 35 CE
2,HS,17,0:04.909.752,33 ns,1 B,,11,00,      ACK packet,D2
1,HS,18,0:04.909.754,891.783 us,4 B,,11,00,   IN txn   [38 POLL],20 08 DF F7
2,HS,19,0:04.909.754,869.000 us,,,11,00,      [38 IN-NAK],
2,HS,20,0:04.910.645,66 ns,3 B,,11,00,      IN packet,69 0B 20
2,HS,21,0:04.910.645,133 ns,7 B,,11,00,      DATA1 packet,4B 20 08 DF F7 6C 6F
2,HS,22,0:04.910.646,33 ns,1 B,,11,00,      ACK packet,D2
1,HS,23,0:04.910.649,783 ns,0 B,,11,00,   OUT txn,
2,HS,24,0:04.910.649,66 ns,3 B,,11,00,      OUT packet,E1 0B 20
2,HS,25,0:04.910.649,66 ns,3 B,,11,00,      DATA1 packet,4B 00 00
2,HS,26,0:04.910.649,33 ns,1 B,,11,00,      ACK packet,D2
0,HS,27,0:04.910.746,1.250.200 ms,,,,,[11 SOF],
0,HS,28,0:04.910.750,1.338.666 ms,8 B,,11,00,Control Transfer,08 F7 00 00 08 F7 10 EF
1,HS,29,0:04.910.750,933 ns,8 B,,11,00,   SETUP txn,C0 A2 08 00 00 00 08 00
2,HS,30,0:04.910.750,66 ns,3 B,,11,00,      SETUP packet,2D 0B 20
2,HS,31,0:04.910.750,200 ns,11 B,,11,00,      DATA0 packet,C3 C0 A2 08 00 00 00 08 00 36 E6
2,HS,32,0:04.910.751,50 ns,1 B,,11,00,      ACK packet,D2
1,HS,33,0:04.910.753,1.332.416 ms,8 B,,11,00,   IN txn   [57 POLL],08 F7 00 00 08 F7 10 EF
2,HS,34,0:04.910.753,1.309.550 ms,,,11,00,      [57 IN-NAK],
2,HS,35,0:04.912.084,83 ns,3 B,,11,00,      IN packet,69 0B 20
2,HS,36,0:04.912.084,216 ns,11 B,,11,00,      DATA1 packet,4B 08 F7 00 00 08 F7 10 EF C7 43
2,HS,37,0:04.912.085,50 ns,1 B,,11,00,      ACK packet,D2
