# Total Phase Data Center(tm) v6.73
# (c) 2005-2017 Total Phase, Inc.
# www.totalphase.com
#
# 
#
# Level,Sp,Index,m:s.ms.us,Dur,Len,Err,Dev,Ep,Record,Data
0,,0,0:00.000.000,,,,,,Capture started (Aggregate),
0,HS,5746,0:05.404.158,200 ns,2 B,B,,,CORRUPTED packet,95 BC
0,HS,6241,0:07.099.916,9.933 us,512 B,,09,02,OUT txn,FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF 6A F7 F7 F7 F7 F7 F7 F3 FB F2 FA FA F1 F1 F9 F9 FC FD FC FB FA F9 FD FC FE FA FE FB F9 F9 FC FD FC F8 FC F8 FC FA FA FA FA BC 06 FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 04 04 04 04 04 04 04 04 00 00 00 00 04 04 04 04 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01 01 01 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 04 04 04 04 04 04 04 04 00 00 00 00 04 04 04 04 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01 01 01 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0,HS,6245,0:07.099.926,9.333 us,512 B,,09,02,OUT txn,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01 01 01 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 04 04 04 04 04 04 04 04 00 00 00 00 04 04 04 04 40 40 40 40 40 40 40 40 00 00 00 00 40 40 40 40 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 00 00 00 00 01 01 01 01 00 00 00 00 00 00 00 00 20 20 20 20 20 20 20 20 20 20 20 20 24 24 24 24 20 20 20 20 00 00 00 00 00 00 00 00 00 00 00 00 04 04 04 04 21 21 21 21 00 00 00 00 00 00 00 00 24 24 24 24 11 11 11 11 00 00 00 00 41 41 41 41 40 40 40 40 01 01 01 01 44 44 44 44 04 04 04 04 04 04 04 04 24 24 24 24 04 04 04 04 05 05 05 05 01 01 01 01 01 01 01 01 01 01 01 01 04 04 04 04 04 04 04 04 00 00 00 00 24 24 24 24 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 04 04 04 04 00 00 00 00 20 20 20 20 00 00 00 00 00 00 00 00 04 04 04 04 00 00 00 00 00 00 00 00 00 00 00 00 04 04 04 04 01 01 01 01 20 20 20 20 00 00 00 00 40 40 40 40 10 10 10 10 14 14 14 14 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 24 24 24 24 00 00 00 00 00 00 00 00 00 00 00 00 04 04 04 04 04 04 04 04 00 00 00 00 04 04 04 04 00 00 00 00 20 20 20 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 20 20 20 20 02 02 02 02 02 02 02 02 02 02 02 02 06 06 06 06 04 04 04 04 01 01 01 01 25 25 25 25 20 20 20 20 42 42 42 42 22 22 22 22 02 02 02 02 02 02 02 02 02 02 02 02 10 10 10 10 30 30 30 30 00 00
0,HS,6249,0:07.099.936,9.333 us,512 B,,09,02,OUT txn,00 00 00 00 00 00 22 22 22 22 22 22 22 22 02 02 02 02 02 02 02 02 02 02 02 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 02 02 02 02 02 02 02 02 FE FE FE FE 3B 3B 3B 3B 00 00 00 00 02 02 02 02 02 02 02 02 02 02 02 02 00 00 00 00 00 00 00 00 20 20 20 20 00 00 00 00 02 02 02 02 02 02 02 02 06 06 06 06 06 06 06 06 02 02 02 02 04 04 04 04 60 60 60 60 60 60 60 60 01 01 01 01 43 43 43 43 02 02 02 02 02 02 02 02 02 02 02 02 02 02 02 02 00 00 00 00 20 20 20 20 30 30 30 30 30 30 30 30 02 02 02 02 22 22 22 22 20 20 20 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 20 20 20 20 00 00 00 00 02 02 02 02 24 24 24 24 22 22 22 22 00 00 00 00 00 00 00 00 00 00 00 00 04 04 04 04 00 00 00 00 00 00 00 00 00 00 00 00 06 06 06 06 22 22 22 22 00 00 00 00 60 60 60 60 60 60 60 60 00 00 00 00 44 44 44 44 04 04 04 04 04 04 04 04 07 07 07 07 27 27 27 27 04 04 04 04 00 00 00 00 00 00 00 00 00 00 00 00 04 04 04 04 04 04 04 04 10 10 10 10 14 14 14 14 00 00 00 00 12 12 12 12 02 02 02 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 02 02 02 02 02 02 02 02 00 00 00 00 02 02 02 02 02 02 02 02 00 00 00 00 00 00 00 00 84 84 84 84 84 84 84 84 00 00 00 00 06 06 06 06 40 40 40 40 C0 C0 C0 C0 80 80 80 80 C0 C0 C0 C0 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 82 82 82 82 80 80 80 80 A0 A0 A0 A0 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 82 82 82 82 30 30 30 30 30 30 30 30 20 20 20 20 10 10 10 10 04 04 04 04 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 02 02 02 02 06 06 06 06 00 00
0,HS,6253,0:07.099.946,9.333 us,512 B,,09,02,OUT txn (NYET),00 00 00 00 00 00 00 00 00 00 C0 C0 C0 C0 42 42 42 42 00 00 00 00 24 24 24 24 26 26 26 26 66 66 66 66 64 64 64 64 44 44 44 44 44 44 44 44 40 40 40 40 50 50 50 50 40 40 40 40 44 44 44 44 44 44 44 44 52 52 52 52 44 44 44 44 42 42 42 42 42 42 42 42 60 60 60 60 40 40 40 40 40 40 40 40 40 40 40 40 10 10 10 10 02 02 02 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 10 10 10 10 94 94 94 94 94 94 94 94 10 10 10 10 94 94 94 94 50 50 50 50 40 40 40 40 00 00 00 00 00 00 00 00 38 38 38 38 78 78 78 78 40 40 40 40 50 50 50 50 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 60 60 60 60 60 60 60 60 40 40 40 40 50 50 50 50 40 40 40 40 40 40 40 40 40 40 40 40 04 04 04 04 80 80 80 80 00 00 00 00 02 02 02 02 30 30 30 30 04 04 04 04 00 00 00 00 00 00 00 00 08 08 08 08 0C 0C 0C 0C 00 00 00 00 98 98 98 98 92 92 92 92 52 52 52 52 92 92 92 92 34 34 34 34 34 34 34 34 04 04 04 04 04 04 04 04 04 04 04 04 94 94 94 94 10 10 10 10 00 00 00 00 10 10 10 10 84 84 84 84 06 06 06 06 A0 A0 A0 A0 A4 A4 A4 A4 00 00 00 00 00 00 00 00 10 10 10 10 02 02 02 02 02 02 02 02 02 02 02 02 16 16 16 16 80 80 80 80 5A 5A 5A 5A 12 12 12 12 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 24 24 24 24 20 20 20 20 20 20 20 20 3A 3A 3A 3A 2C 2C 2C 2C 22 22 22 22 28 28 28 28 22 22 22 22 60 60 60 60 20 20 20 20 B4 B4 B4 B4 34 34 34 34 B4 B4 B4 B4 34 34 34 34 B4 B4 B4 B4 34 34 34 34 00 00 00 00 00 00 00 00 00 00 00 00 14 14 14 14 94 94 94 94 80 80 80 80 94 94 94 94 20 20 20 20 80 80 80 80 00 00 00 00 20 20 20 20 00 00
0,HS,6258,0:07.099.969,1.759.533 ms,512 B,,09,02,OUT txn (NYET)   [77 POLL],00 00 00 00 00 00 04 04 04 04 00 00 00 00 00 00 00 00 00 00 00 00 10 10 10 10 04 04 04 04 00 00 00 00 00 00 00 00 A8 A8 A8 A8 8C 8C 8C 8C 00 00 00 00 88 88 88 88 10 10 10 10 60 60 60 60 00 00 00 00 24 24 24 24 04 04 04 04 04 04 04 04 04 04 04 04 14 14 14 14 16 16 16 16 10 10 10 10 10 10 10 10 10 10 10 10 14 14 14 14 04 04 04 04 00 00 00 00 04 04 04 04 10 10 10 10 10 10 10 10 00 00 00 00 12 12 12 12 00 00 00 00 00 00 00 00 08 08 08 08 00 00 00 00 00 00 00 00 00 00 00 00 10 10 10 10 00 00 00 00 00 00 00 00 00 00 00 00 BE BE BE BE A4 A4 A4 A4 00 00 00 00 A4 A4 A4 A4 40 40 40 40 40 40 40 40 00 00 00 00 48 48 48 48 18 18 18 18 08 08 08 08 08 08 08 08 08 08 08 08 08 08 08 08 02 02 02 02 00 00 00 00 10 10 10 10 18 18 18 18 18 18 18 18 10 10 10 10 18 18 18 18 10 10 10 10 02 02 02 02 00 00 00 00 00 00 00 00 10 10 10 10 10 10 10 10 2C 2C 2C 2C 10 10 10 10 00 00 00 00 00 00 00 00 00 00 00 00 04 04 04 04 00 00 00 00 00 00 00 00 08 08 08 08 04 04 04 04 02 02 02 02 00 00 00 00 C0 C0 C0 C0 62 62 62 62 00 00 00 00 4C 4C 4C 4C 0D 0D 0D 0D 0C 0C 0C 0C 0C 0C 0C 0C 0C 0C 0C 0C 1C 1C 1C 1C 10 10 10 10 00 00 00 00 12 12 12 12 0E 0E 0E 0E 0E 0E 0E 0E 02 02 02 02 0C 0C 0C 0C 00 00 00 00 02 02 02 02 00 00 00 00 02 02 02 02 00 00 00 00 00 00 00 00 08 08 08 08 80 80 80 80 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 0C 0C 0C 0C 04 04 04 04 00 00 00 00 04 04 04 04 40 40 40 40 40 40 40 40 00 00 00 00 C8 C8 C8 C8 38 38 38 38 A8 A8 A8 A8 08 08 08 08 A8 A8 A8 A8 08 08 08 08 00 00 00 00 00 00 00 00 00 00 00 00 1A 1A
0,HS,6267,0:07.101.749,1.754.133 ms,512 B,,09,02,OUT txn (NYET)   [74 POLL],1A 1A 8A 8A 8A 8A 80 80 80 80 88 88 88 88 00 00 00 00 80 80 80 80 00 00 00 00 10 10 10 10 10 10 10 10 10 10 10 10 1C 1C 1C 1C 90 90 90 90 10 10 10 10 00 00 00 00 00 00 00 00 0C 0C 0C 0C 10 10 10 10 10 10 10 10 03 03 03 03 1C 1C 1C 1C 00 00 00 00 00 00 00 00 03 03 03 03 40 40 40 40 00 00 00 00 8C 8C 8C 8C 1C 1C 1C 1C 8C 8C 8C 8C 0C 0C 0C 0C 8C 8C 8C 8C 3C 3C 3C 3C 20 20 20 20 00 00 00 00 20 20 20 20 0E 0E 0E 0E 8C 8C 8C 8C 80 80 80 80 8C 8C 8C 8C 13 13 13 13 80 80 80 80 03 03 03 03 00 00 00 00 03 03 03 03 00 00 00 00 00 00 00 00 90 90 90 90 10 10 10 10 10 10 10 10 13 13 13 13 2B 2B 2B 2B C2 C2 C2 C2 00 00 00 00 13 13 13 13 13 13 13 13 03 03 03 03 0C 0C 0C 0C 0C 0C 0C 0C 10 10 10 10 1C 1C 1C 1C 20 20 20 20 50 50 50 50 00 00 00 00 80 80 80 80 02 02 02 02 80 80 80 80 00 00 00 00 80 80 80 80 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 11 11 11 11 A1 A1 A1 A1 80 80 80 80 81 81 81 81 00 00 00 00 80 80 80 80 00 00 00 00 00 00 00 00 12 12 12 12 00 00 00 00 06 06 06 06 00 00 00 00 02 02 02 02 00 00 00 00 00 00 00 00 14 14 14 14 10 10 10 10 10 10 10 10 9A 9A 9A 9A 9E 9E 9E 9E 12 12 12 12 0A 0A 0A 0A 00 00 00 00 C0 C0 C0 C0 90 90 90 90 94 94 94 94 85 85 85 85 94 94 94 94 84 84 84 84 84 84 84 84 87 87 87 87 80 80 80 80 80 80 80 80 80 80 80 80 84 84 84 84 84 84 84 84 80 80 80 80 84 84 84 84 80 80 80 80 A0 A0 A0 A0 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 08 08 08 08 80 80 80 80 13 13 13 13 10 10 10 10 03 03 03 03 18 18 18 18 03 03 03 03 00 00 00 00 00 00 00 00 0C 0C 0C 0C 00 00 00 00 00 00 00 00 03 03 03 03 43 43
0,HS,6276,0:07.103.513,1.747.450 ms,512 B,,09,02,OUT txn (NYET)   [76 POLL],43 43 03 03 03 03 8B 8B 8B 8B 08 08 08 08 88 88 88 88 08 08 08 08 88 88 88 88 08 08 08 08 00 00 00 00 00 00 00 00 00 00 00 00 08 08 08 08 88 88 88 88 80 80 80 80 88 88 88 88 00 00 00 00 80 80 80 80 00 00 00 00 00 00 00 00 12 12 12 12 22 22 22 22 0C 0C 0C 0C 00 00 00 00 01 01 01 01 02 02 02 02 02 02 02 02 06 06 06 06 12 12 12 12 02 02 02 02 8A 8A 8A 8A 86 86 86 86 02 02 02 02 82 82 82 82 02 02 02 02 52 52 52 52 12 12 12 12 1E 1E 1E 1E 1E 1E 1E 1E 1E 1E 1E 1E 1E 1E 1E 1E 0E 0E 0E 0E 0C 0C 0C 0C 00 00 00 00 10 10 10 10 10 10 10 10 0C 0C 0C 0C 1C 1C 1C 1C 00 00 00 00 0C 0C 0C 0C 02 02 02 02 00 00 00 00 00 00 00 00 00 00 00 00 10 10 10 10 00 00 00 00 04 04 04 04 00 00 00 00 31 31 31 31 21 21 21 21 00 00 00 00 25 25 25 25 02 02 02 02 00 00 00 00 80 80 80 80 8C 8C 8C 8C 12 12 12 12 80 80 80 80 42 42 42 42 40 40 40 40 02 02 02 02 44 44 44 44 04 04 04 04 14 14 14 14 14 14 14 14 14 14 14 14 16 16 16 16 12 12 12 12 12 12 12 12 02 02 02 02 04 04 04 04 04 04 04 04 10 10 10 10 14 14 14 14 20 20 20 20 10 10 10 10 00 00 00 00 00 00 00 00 22 22 22 22 00 00 00 00 0C 0C 0C 0C 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 24 24 24 24 20 20 20 20 00 00 00 00 88 88 88 88 84 84 84 84 02 02 02 02 A0 A0 A0 A0 60 60 60 60 40 40 40 40 32 32 32 32 7C 7C 7C 7C 0E 0E 0E 0E 1C 1C 1C 1C 0E 0E 0E 0E 0C 0C 0C 0C 0C 0C 0C 0C 20 20 20 20 20 20 20 20 20 20 20 20 0E 0E 0E 0E 2E 2E 2E 2E 22 22 22 22 2E 2E 2E 2E 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 03 03 03 03 00 00 00 00 00 00 00 00 80 80 80 80 03 03 03 03 00 00 00 00 00 00 00 00 00 00
0,HS,6285,0:07.105.282,1.743.416 ms,512 B,,09,02,OUT txn (NYET)   [74 POLL],00 00 00 00 00 00 00 00 00 00 79 79 79 79 BF BF BF BF 00 00 00 00 0C 0C 0C 0C 0C 0C 0C 0C 30 30 30 30 2C 2C 2C 2C 00 00 00 00 60 60 60 60 03 03 03 03 80 80 80 80 00 00 00 00 80 80 80 80 13 13 13 13 80 80 80 80 03 03 03 03 00 00 00 00 03 03 03 03 00 00 00 00 00 00 00 00 90 90 90 90 90 90 90 90 90 90 90 90 13 13 13 13 93 93 93 93 13 13 13 13 03 03 03 03 00 00 00 00 00 00 00 00 10 10 10 10 10 10 10 10 00 00 00 00 10 10 10 10 00 00 00 00 00 00 00 00 23 23 23 23 00 00 00 00 8C 8C 8C 8C 8C 8C 8C 8C 10 10 10 10 8C 8C 8C 8C 00 00 00 00 40 40 40 40 30 30 30 30 00 00 00 00 00 00 00 00 00 00 00 00 03 03 03 03 00 00 00 00 20 20 20 20 00 00 00 00 13 13 13 13 00 00 00 00 23 23 23 23 00 00 00 00 03 03 03 03 00 00 00 00 00 00 00 00 10 10 10 10 30 30 30 30 30 30 30 30 33 33 33 33 33 33 33 33 1B 1B 1B 1B 03 03 03 03 00 00 00 00 00 00 00 00 10 10 10 10 18 18 18 18 20 20 20 20 10 10 10 10 84 84 84 84 8C 8C 8C 8C 22 22 22 22 84 84 84 84 00 00 00 00 40 40 40 40 00 00 00 00 08 08 08 08 08 08 08 08 08 08 08 08 38 38 38 38 08 08 08 08 08 08 08 08 00 00 00 00 03 03 03 03 00 00 00 00 28 28 28 28 08 08 08 08 12 12 12 12 08 08 08 08 22 22 22 22 00 00 00 00 02 02 02 02 00 00 00 00 00 00 00 00 10 10 10 10 38 38 38 38 30 30 30 30 32 32 32 32 32 32 32 32 12 12 12 12 0A 0A 0A 0A 00 00 00 00 00 00 00 00 94 94 94 94 9C 9C 9C 9C 03 03 03 03 90 90 90 90 00 00 00 00 44 44 44 44 07 07 07 07 0C 0C 0C 0C 0C 0C 0C 0C 0C 0C 0C 0C 0C 0C 0C 0C 0C 0C 0C 0C 0C 0C 0C 0C 04 04 04 04 34 34 34 34 24 24 24 24 0C 0C 0C 0C 0C 0C 0C 0C 07 07 07 07 2C 2C 2C 2C 24 24
